district,mandal,village,unit_name,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,in_online,social_status
Medchal,Qutubullapur,Dulapalle,M/S. SHREE MANIKYA INDUSTRIES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,17,05/12/2018,14/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Qutubullapur,Dulapalle,M/S. MORAL ENGINEERING INDUSTRIES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.15,12,05/12/2018,14/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Dulapalle,M/S. ADITYA ENGINEERING INDUSTRIES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.18,20,05/12/2018,14/12/2018,COMMENCED OPERATIONS,Yes,SC
Kamareddy,Domakonda,Domakonda,M/s SUDARSHAN TEXTILES,Power looms (without dye and bleaching),Textiles,0.43,10,29/11/2018,13/12/2018,ADVANCED STAGE,Yes,OBC
Adilabad,Adilabad(Rural),Kachkanti,BIRUDU LIGHT WEIGHT BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,8,06/12/2018,13/12/2018,COMMENCED OPERATIONS,Yes,OBC
Suryapet,Atmakur (S),Aipur,M/S.SRI SAI RATHNA BINNY RICE MILL,Rice mill (Rice hullers only),Food Processing,0.2347,6,03/12/2018,13/12/2018,COMMENCED OPERATIONS,Yes,General
Jagtial,Buggaram,Buggaram,M/S. RAJARAJESHWARA POULTRY & FEED MIXING,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.2,4,05/12/2018,13/12/2018,COMMENCED OPERATIONS,Yes,OBC
Mahabubabad,Peddavangara,POCHAMPALLE,M/S AMBEDKAR POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.25,15,02/12/2018,12/12/2018,COMMENCED OPERATIONS,Yes,SC
Karimnagar,Gangadhara,Uppara Mallial,M/S.VANGA MALLAVVA POWERLOOM UNIT,Power looms (without dye and bleaching),Textiles,0.1,4,03/12/2018,12/12/2018,COMMENCED OPERATIONS,Yes,OBC
Karimnagar,Ramadugu,Vedira,M/S ANJANA POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.245,4,28/11/2018,12/12/2018,COMMENCED OPERATIONS,Yes,General
Karimnagar,Ramadugu,Koratpalle,M/S SHIVA SAI POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.245,3,28/11/2018,12/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Kukatpally,Kukatpally,M/s In N Out Food Ingredients (CFE Exp),Bakery and confectionery units with production capacity> 1 TPD. ( Withovens / furnaces),Food Processing,0.0,6,18/11/2018,12/12/2018,COMMENCED OPERATIONS,Yes,General
Jagtial,Metpalle,Vellulla,RAVINDHAR WELDING SHOP,Iron & Steel (involvingprocessing from ore/ integrated steel plants) and or Sponge Iron units,Engineering,0.037,2,04/12/2018,12/12/2018,COMMENCED OPERATIONS,Yes,OBC
Jagtial,Koratla,Kallur,Ganesh Poultry Farm,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.1919,4,28/11/2018,12/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,M/S. WISDOM ERGOTECH INDIA LLP,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,10,05/12/2018,12/12/2018,COMMENCED OPERATIONS,Yes,General
Mahabubabad,Kuravi,Gundrathimadugu,TOUCH TONE TELE SERVICES,Brickfields ( excluding fly ash brick manufacturing using lime process),"Cement, Cement & Concrete Products, Fly Ash Bricks",0.045,10,04/12/2018,11/12/2018,COMMENCED OPERATIONS,Yes,OBC
Jagtial,Medipalle,Medipalle,M/S. RANJITH KUMAR WELDING WORKSHOP,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.04,2,29/11/2018,11/12/2018,COMMENCED OPERATIONS,Yes,OBC
Jagtial,Ibrahimpatnam,Mularampur,M/S.R.S POULTRY & FEED MIXING,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.25,4,27/11/2018,11/12/2018,COMMENCED OPERATIONS,Yes,OBC
Jagtial,Ibrahimpatnam,Bardipur,M/S. SRI KEERTHANA POULTRY & FEED MIXING,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.25,6,27/11/2018,11/12/2018,COMMENCED OPERATIONS,Yes,OBC
Jagtial,Ibrahimpatnam,Dabba,M/S. RAJESHWARI POULTRY & FEED MIXING,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.25,4,27/11/2018,11/12/2018,COMMENCED OPERATIONS,Yes,OBC
Kamareddy,Kamareddy,Kamareddy ( U ),SRI LAXMI NARASIMHA ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.0131,2,03/12/2018,11/12/2018,COMMENCED OPERATIONS,Yes,General
Kamareddy,Machareddy,Chukkapur,AMBATI TASTY FOODS,Bakery and confectionery units with production capacity> 1 TPD. ( Withovens / furnaces),Food Processing,0.2,20,29/11/2018,11/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Balanagar,Balanagar,PADMA ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.02,2,28/11/2018,11/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Balanagar,Balanagar,SAI SHEETAL MOULDS MAKERS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.15,2,28/11/2018,11/12/2018,COMMENCED OPERATIONS,Yes,General
Sangareddy,Patancheru,Pashamylaram,SRI DULICHAND FINE CHEM PRIVATE LIMITED,Basic chemicals and electrochemicals and its derivativesincluding manufacturing of acid,Pharmaceuticals and Chemicals,1.0,23,11/10/2018,10/12/2018,ADVANCED STAGE,Yes,General
Kamareddy,Yellareddy,Devanpalle,BHARATH FLOOR MILL,Flour mills (dry process),Food Processing,0.1,4,27/11/2018,10/12/2018,COMMENCED OPERATIONS,Yes,General
Peddapalli,Peddapalle,Appannapet,M/s. Annapurna Agro Industries,Parboiled Rice Mills,Food Processing,2.25,25,09/10/2018,10/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Uppal,Nacharam,Devi Electronics,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,1.98,5,30/11/2018,10/12/2018,ADVANCED STAGE,Yes,General
Karimnagar,Shankarapatnam,Gaddapaka,M/S. BHAGYA FLOUR MILL,Flour mills (dry process),Food Processing,0.09,2,23/11/2018,10/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Dundigal Gandimaisamma,Bahadurpally,SRI SAI LAKSHMI INDUSTRIES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.21,5,27/11/2018,08/12/2018,COMMENCED OPERATIONS,Yes,General
BHADRADRI KOTHAGUDEM,Mulkalapalle,Pusugudem,M/S. SRI VENKATESHWARA BRICKS FACTORY,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,10,27/11/2018,07/12/2018,COMMENCED OPERATIONS,Yes,ST
Asifabad,Rebbana,Nerpalle,M/s RAJ INDUSTRIES,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.335,5,02/12/2018,07/12/2018,COMMENCED OPERATIONS,Yes,OBC
Rangareddy,Farooqnagar,Burgul,M3 INDUSTRIES,Insulation and other coated papers (excluding paper or pipe manufacturing),Others,2.62,10,14/11/2018,07/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. MAHALAXMI ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,4,19/11/2018,07/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Dundigal Gandimaisamma,Kompally,A. SANJEEVA REDDY & OTHERS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.9817,8,27/11/2018,07/12/2018,COMMENCED OPERATIONS,Yes,General
Sangareddy,Hathnoora,Chandapur,AUROBINDO REALTY & INFRASTRUCTURE PRIVATE LIMITED,Pharmaceutical Formulation for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),R&D,5.0,50,27/11/2018,07/12/2018,COMMENCED OPERATIONS,Yes,OBC
Nalgonda,Nalgonda,Nalgonda,M/S. LAKSHMI OIL MILL.,Vegetable oil manufacturing solvent extraction and refinery /hydrogenated oils,Food Processing,0.04,2,28/11/2018,07/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Shamirpet,Devaryamjal,UNEED SOLUTIONS PRIVATE LIMITED UNIT II,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,25,28/11/2018,07/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Kukatpally,Kukatpally,BALAJI CARBIDE TOOLS PRIVATE LIMITED,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.05,5,24/11/2018,07/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. BHAVANI ENTERPRISES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.2,5,27/11/2018,07/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Jeedimetla,ANMOL PLASTIC,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.1192,5,27/11/2018,07/12/2018,COMMENCED OPERATIONS,Yes,General
Medak,Manoharabad,Muppireddipalle,M/s. R.S.R. Packaging.,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,4.51,100,18/03/2017,06/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Medchal,Gundlapochampally,M/s Sterling Avenues Private Limited,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",100.0,5,05/11/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Serilingampally,Darga Hussainshahwal,Harsha Developers,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",100.0,15,08/11/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Sircilla,Vemulawada,Nampalle,M/s. Indhrani Fly Ash Bricks,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.17,8,29/12/2017,06/12/2018,COMMENCED OPERATIONS,Yes,OBC
Rangareddy,Rajendranagar,Puppalguda,MYSCAPE ISLE OF SKY BY MYSCAPE PROPERTIES PVT LTD,"Building and construction project more than 20,000 sq. m built up area","Real Estate,Industrial Parks and IT Buildings",50.0,15,30/10/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Serilingampally,KONDAPUR,Ms. Pranith Projects Pvt Ltd,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",75.0,15,31/10/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Serilingampally,NALAGANDLA,M/s. Aakriti Condructions & Developers Prt. Ltd.,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",73.0,15,06/11/2018,06/12/2018,INITIAL STAGE,Yes,General
Rangareddy,Rajendranagar,Bandlaguda (Jagir),SMR SM ESTATES,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",85.0,5,30/10/2018,06/12/2018,ADVANCED STAGE,Yes,General
Rangareddy,Serilingampally,KONDAPUR,M/s. SMR Builders Pvt.Ltd,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",350.0,5,30/10/2018,06/12/2018,ADVANCED STAGE,Yes,General
Rangareddy,Serilingampally,KONDAPUR,"SMR builders Pvt.Ltd.,Phase-II,","Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",300.0,4,30/10/2018,06/12/2018,ADVANCED STAGE,Yes,General
Rangareddy,Rajendranagar,Puppalguda,"MYSCAPE MEA M/s MYSCAPE PROPERTIES PVT. LTD.,","Building and construction project more than 20,000 sq. m built up area","Real Estate,Industrial Parks and IT Buildings",50.0,25,30/10/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Serilingampally,KONDAPUR,APARNA ELINA & APARNA PARNIKA,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",305.0,25,31/10/2018,06/12/2018,ADVANCED STAGE,Yes,General
Karimnagar,Karimnagar,Asifnagar,M/S. SRI BALAJI BREEZING CENTRE,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.1,6,27/11/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Ghatkesar,Ghatkesar,Serene Park by M/s Serene Park Constructions,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",90.0,5,05/11/2018,06/12/2018,INITIAL STAGE,Yes,General
Rangareddy,Rajendranagar,Puppalguda,MYSCAPE PROPERTIES PVT. LTD.,"Building and construction project more than 20,000 sq. m built up area","Real Estate,Industrial Parks and IT Buildings",100.0,10,31/10/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Rajendranagar,Puppalguda,Ashoka Cascades M/s ASHOKA BUILDERS INDIA LTD.,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",136.9,12,31/10/2018,06/12/2018,ADVANCED STAGE,Yes,General
Rangareddy,Serilingampally,NANAKRAMGUDA,VASAVI GP TRENDS BY M/s VASAVI AND GP INFRA,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",160.0,18,31/10/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Rajendranagar,Manikonda (Jagir),VAZHRAA NIRMAAN PVT LTD,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",110.2,5,29/10/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Nizampet,Vazhraa Nirmaan Pvt Ltd,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",89.5,5,30/10/2018,06/12/2018,ADVANCED STAGE,Yes,General
Rangareddy,Serilingampally,MIYAPUR,SMR Builders,"Building and construction project more than 20,000 sq. m built up area","Real Estate,Industrial Parks and IT Buildings",60.0,5,30/10/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Rajendranagar,Bandlaguda (Jagir),SMR Builders Pvt.Ltd,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",120.0,5,30/10/2018,06/12/2018,ADVANCED STAGE,Yes,General
Rangareddy,Serilingampally,RAIDURG PANMAKTHA,GK SQUARE,"Building and construction project more than 20,000 sq. m built up area","Real Estate,Industrial Parks and IT Buildings",53.5,1500,30/10/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Shankarpalle,Kondakal,Ms. Green Mark Properties,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",115.0,20,26/09/2018,06/12/2018,ADVANCED STAGE,Yes,General
Warangal - Urban,Warangal,ENUMAMULA,SAI SIDDARTH INDUSTRY,Flour mills (dry process),Food Processing,0.005,8,21/11/2018,06/12/2018,COMMENCED OPERATIONS,Yes,OBC
Nizamabad,Dichpalle,Indalwai,M/S SHIVA MALAIAH POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.2,4,03/12/2018,06/12/2018,COMMENCED OPERATIONS,Yes,OBC
Rangareddy,Kothur,Thimmapur,HIL LIMITED,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,24.758,40,21/11/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Karimnagar,Kothapally,Kothapalli(Haveli),M/S SR LITE BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.249,6,24/11/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Sangareddy,Patancheru,Patancheru,ENCLOFAB ELECTRICAL INDUSTRIES,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,0.5,9,28/11/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Vikarabad,Yelal,Kokat,MAHESH STONE TRADERS,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.25,12,24/11/2018,06/12/2018,COMMENCED OPERATIONS,Yes,General
Sangareddy,Kondapur,Mallepalle,NCC CROWNS PVT LTD,Automobile Manufacturing(integrated facilities),Automobile,8.2,3,06/11/2018,05/12/2018,COMMENCED OPERATIONS,Yes,OBC
Sircilla,Sircilla,Sircilla,M/S. VARALAXMI FOOD PROCESSING COMPANY,Bakery /confectionery /sweets products (with production capacity <l tpd (with gas or electrical oven),Food Processing,0.16,8,24/11/2018,05/12/2018,COMMENCED OPERATIONS,Yes,OBC
Sircilla,Yellareddipet,Boppapuram,M/S. A-1 REXINE AND WELDING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.15,5,23/11/2018,05/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Keesara,Rampalle,VAISHNAVI INFRA,Wire drawing and wire netting,Engineering,0.9,15,04/12/2018,05/12/2018,COMMENCED OPERATIONS,Yes,General
Karimnagar,Karimnagar,Karimnagar,M/S.OMKAR ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.23,4,23/11/2018,05/12/2018,COMMENCED OPERATIONS,Yes,OBC
Sangareddy,Hathnoora,Chandapur,AUROBINDO REALTY AND INFRASTRUCTURE PVT LTD,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",82.9,400,03/12/2018,05/12/2018,COMMENCED OPERATIONS,Yes,General
Yadadri,Bibinagar,Gurrala Dandi,7 Stone Crusher,Stone crushers,Granite and Stone Crushing,0.15,20,27/11/2018,05/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Shamshabad,Satamrai,SAI RAM PACKERS,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,0.2,5,24/11/2018,05/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Kukatpally,Kukatpally,API PHARMA TECH PRIVATE LIMITED,Pharmaceuticals,Pharmaceuticals and Chemicals,1.9129,13,02/11/2018,04/12/2018,COMMENCED OPERATIONS,Yes,General
Jagtial,Medipalle,Medipalle,M/S. VIL PUBLISHERS,Printing press,Paper and Printing,4.95,20,08/11/2018,04/12/2018,COMMENCED OPERATIONS,Yes,SC
Medchal,Qutubullapur,Jeedimetla,ARKTECH INDUSTRIAL EQUIPMENTS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,2.77,10,13/11/2018,04/12/2018,COMMENCED OPERATIONS,Yes,General
Gadwal,Gadwal,Gadwal (Rural),MURARI INDUSTRIES,Packing of powdered mill,Others,0.5992,8,12/10/2018,04/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Maheswaram,Maheswaram,Accord Power Conversion Pvt Ltd,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,6.8,200,02/08/2018,04/12/2018,ADVANCED STAGE,Yes,General
